_id,name,address,city,state,pincode,phone,email,profile_url,contact_person,category,open_hours,map_location,services[0],services[1],services[2],services[3]
67cdda3e725df3b508c6470f,Trident Scans And Labs,"Sreekaryam, Thiruvananthapuram",Thiruvananthapuram,Kerala,695017,+91-9847100001,tridentscansandlabs@keraladiagnostics.in,https://www.keraladiagnostics.in/trident-scans-and-labs,Dr. Sreekumar Nair,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Sreekaryam,+Thiruvananthapuram+695017",X-Ray,CT Scan,MRI,Ultrasound
67cdda3e725df3b508c64710,Dr. Ramachandran's Diagonastic services And Diabetes Clinic,"Rajni, Kumarapuram, Thiruvananthapuram",Thiruvananthapuram,Kerala,695011,+91-9847100002,drramachandransclinic@keraladiagnostics.in,https://www.keraladiagnostics.in/dr-ramachandrans-diagonastic-services,Dr. Ramachandran Pillai,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Rajni,+Kumarapuram,+Thiruvananthapuram+695011",Blood Tests,Diabetes Screening,Glucose Tolerance,
67cdda3e725df3b508c64711,Metro Scans Laboratory,"Mediplaza, Ulloor, Thiruvananthapuram",Thiruvananthapuram,Kerala,695011,+91-9847100003,metroscanslab@keraladiagnostics.in,https://www.keraladiagnostics.in/metro-scans-laboratory,Dr. Rajeev Menon,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Mediplaza,+Ulloor,+Thiruvananthapuram+695011",X-Ray,Ultrasound,CT Scan,
67cdda3e725df3b508c64712,Saraswathy Hospital,"Main Road, Pavathiyanvila, Parassala, Thiruvananthapuram",Thiruvananthapuram,Kerala,695502,+91-9847100004,saraswathyhospital@keraladiagnostics.in,https://www.keraladiagnostics.in/saraswathy-hospital,Dr. Lakshmi Pillai,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Main+Road,+Pavathiyanvila,+Parassala,+Thiruvananthapuram+695502",Blood Tests,ECG,Ultrasound,
67cdda3e725df3b508c64713,Devi Scans Pvt Ltd,"Kumarapuram Medical College Road, Kumarapuram, Thiruvananthapuram",Thiruvananthapuram,Kerala,695011,+91-9847100005,deviscans@keraladiagnostics.in,https://www.keraladiagnostics.in/devi-scans-pvt-ltd,Dr. Devi Nair,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Kumarapuram+Medical+College+Road,+Kumarapuram,+Thiruvananthapuram+695011",CT Scan,MRI,Ultrasound,
67cdda3e725df3b508c64714,Nathani's Diagnostic Clinic,"NH 47, Pattom Chalakuzhi Junction, Pattom, Thiruvananthapuram",Thiruvananthapuram,Kerala,695004,+91-9847100006,nathanidiagnostic@keraladiagnostics.in,https://www.keraladiagnostics.in/nathanis-diagnostic-clinic,Dr. Abinaya Nair,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=NH+47,+Pattom+Chalakuzhi+Junction,+Pattom,+Thiruvananthapuram+695004",Blood Tests,Urine Analysis,ECG,
67cdda3e725df3b508c64715,Doctors Diagnostic & Research Centre,"Aster Square, Ulloor Road, Thiruvananthapuram Medical College, Thiruvananthapuram",Thiruvananthapuram,Kerala,695011,+91-9847100007,ddrc@keraladiagnostics.in,https://www.keraladiagnostics.in/doctors-diagnostic-research-centre,Dr. Mohan Mathew,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Aster+Square,+Ulloor+Road,+Thiruvananthapuram+Medical+College,+Thiruvananthapuram+695011",Blood Tests,Urine Analysis,X-Ray,
67cdda3e725df3b508c64716,Doctors Advanced Diagnostics (Dad),"Surur Building, Kumarapuram–Medical College, Kumarapuram, Thiruvananthapuram",Thiruvananthapuram,Kerala,695011,+91-9847100008,dad@keraladiagnostics.in,https://www.keraladiagnostics.in/doctors-advanced-diagnostics,Dr. Anoop Varghese,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Surur+Building,+Kumarapuram–Medical+College,+Kumarapuram,+Thiruvananthapuram+695011",CT Scan,MRI,Ultrasound,
67cdda3e725df3b508c64717,Ddrc Srl Diagnostics Pvt Ltd,"Aster Square, Ullor Road, Thycaud, Thiruvananthapuram",Thiruvananthapuram,Kerala,695014,+91-9847100009,ddrcsrl@keraladiagnostics.in,https://www.keraladiagnostics.in/ddrc-srl-diagnostics,Dr. Suresh Kumar,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Aster+Square,+Ullor+Road,+Thycaud,+Thiruvananthapuram+695014",X-Ray,CT Scan,MRI,
67cdda3e725df3b508c64718,Ss Medical Center,"Kazhakoottam Thaikod Road, Chanthavila, Thiruvananthapuram",Thiruvananthapuram,Kerala,695584,+91-9847100010,ssmedical@keraladiagnostics.in,https://www.keraladiagnostics.in/ss-medical-center,Dr. Shibu Pillai,Medical Diagnosis Lab,8 AM - 8 PM,"https://www.google.com/maps/search/?api=1&query=Kazhakoottam+Thaikod+Road,+Chanthavila,+Thiruvananthapuram+695584",Blood Tests,ECG,Ultrasound,
