_id,name,address.street,address.city,address.state,address.zip,address.country,phone,website,type,departments[0],departments[1],departments[2],departments[3],departments[4],departments[5],bedCount,createdAt,mapLink
67cc8c1470dbada60633aece,AJ Hospital,Pangappara,Thiruvananthapuram,Kerala,695581,India,+91-471-259-8959,N/A,Private,General Medicine,Surgery,Pediatrics,Gynecology,Orthopedics,,100,2025-03-07T00:00:00Z,https://www.google.com/maps/place/AJ+Hospital+Pangappara+Thiruvananthapuram
67cc8c1470dbada60633aecf,Amar Maternity & Fertility Centre,"TC 5/5, Opp. Muttada Mosque, Muttada",Thiruvananthapuram,Kerala,695025,India,+91-471-254-1337,N/A,Private,Maternity,Gynecology,Fertility,Pediatrics,General Medicine,,50,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Amar+Maternity+%26+Fertility+Centre+Thiruvananthapuram
67cc8c1470dbada60633aed0,Ananthapuri Hospitals and Research Institute,"NH Bypass, Chacka",Thiruvananthapuram,Kerala,695024,India,+91-471-257-9900,https://ananthapurihospitals.com,Private,General Medicine,Cardiology,Neurology,Orthopedics,Gynecology,Pediatrics,400,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Ananthapuri+Hospitals+and+Research+Institute+Thiruvananthapuram
67cc8c1470dbada60633aed1,Chaithanya Eye Hospital and Research Institute,"Pattom - Kesavadasapuram Rd, Pattom",Thiruvananthapuram,Kerala,695004,India,+91-471-244-8188,https://www.chaithanya.org,Private,Ophthalmology,Cornea Services,Glaucoma Services,Retina Services,,,100,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Chaithanya+Eye+Hospital+and+Research+Institute+Thiruvananthapuram
67cc8c1470dbada60633aed2,Cosmopolitan Hospital Private Ltd,Pattom,Thiruvananthapuram,Kerala,695004,India,+91-471-244-8186,https://www.cosmopolitanhospitals.in,Private,General Medicine,Cardiology,Neurology,Orthopedics,Gynecology,Pediatrics,360,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Cosmopolitan+Hospital+Private+Ltd+Thiruvananthapuram
67cc8c1470dbada60633aed3,Gitanjali Hospital,Karamana,Thiruvananthapuram,Kerala,695002,India,+91-471-234-5903,N/A,Private,General Medicine,Orthopedics,Gynecology,Pediatrics,,,100,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Gitanjali+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aed4,Jubilee Memorial Hospital,Palayam,Thiruvananthapuram,Kerala,695001,India,+91-471-233-1234,https://jubileememorialhospital.org,Private,General Medicine,Surgery,Gynecology,Pediatrics,Orthopedics,,300,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Jubilee+Memorial+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aed5,Kerala Institute of Medical Sciences (KIMS),Anayara,Thiruvananthapuram,Kerala,695029,India,+91-471-304-1000,https://www.kimshealth.org,Private,General Medicine,Cardiology,Neurology,Orthopedics,Gynecology,Pediatrics,650,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Kerala+Institute+of+Medical+Sciences+%28KIMS%29+Thiruvananthapuram
67cc8c1470dbada60633aed6,Lords Hospital,Anayara,Thiruvananthapuram,Kerala,695029,India,+91-471-250-6737,http://www.lordshospital.org,Private,General Medicine,Surgery,Gynecology,Pediatrics,Orthopedics,,150,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Lords+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aed7,Noorul Islam Multi Speciality Hospital,"NIMS Medicity, Neyyattinkara",Thiruvananthapuram,Kerala,695121,India,+91-471-222-3456,http://www.nimsmedicity.com,Private,General Medicine,Cardiology,Neurology,Gynecology,Orthopedics,,300,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Noorul+Islam+Multi+Speciality+Hospital+Thiruvananthapuram
